Operator/Tenant,Owner,"Warehouse Area (sq ft)","Warehouse Type","Lot Size","Year Opened",Address,County,"Zip code","Full Address",Neighborhood,"Site Description",Note,Link,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Amazon,"Terreno Realty Co.","83,300",Last-Mile,0,2018,"1 Bulova Avenue",Queens,11377,"1 Bulova Avenue, Queens, New York 11377",Woodside,"Former Bulova headquarters","Delivery Station for Queens","https://www.mwpvl.com/html/amazon_com.html
https://qns.com/2018/10/queens-primed-new-amazon-fulfillment-center-former-bulova-facility-woodside/",40.762536,-73.903433,1,range_interpolation,1,"Bulova Ave",,,Woodside,NY,"Queens County",11377,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,,"19,560",,101237,2021,"1 Railroad Place",Queens,11378,"1 Railroad Place, Queens, New York 11378",Maspeth,,"Delivery station for Queens.",https://www.loopnet.ca/fr-CA/Liste/1-Railroad-Pl-Maspeth-NY/15421819/,40.723632,-73.917452,1,range_interpolation,1,"Railroad Pl",,,Maspeth,NY,"Queens County",11378,US,"TIGER/Line® dataset from the US Census Bureau"
UPS,UPS,"1,044,000","Distribution Center",522000,upcoming,"100 Ferris Street",Kings,11231,"100 Ferris Street, Kings, New York 11231","Red Hook",,"It will be a new site of 219 Sullivan Street, 202, 242, & 300 Coffey Street, and 44, 68, & 100 Ferris Street","https://bklyner.com/ups-signs-lease-12-acre-site-red-hook/
https://metroairportnews.com/ups-buys-huge-red-hook-site-for-303m/",40.677973,-74.016903,1,range_interpolation,100,"Ferris St",,,Brooklyn,NY,"Kings County",11231,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,ProLogis,"205,400",Last-Mile,0,2021,"1055 Bronx River Avenue",Bronx,10472,"1055 Bronx River Avenue, Bronx, New York 10472",,"Former Jet.com Grocery e-commerce fulfillment center","Delivery Station for Bronx",https://welcome2thebronx.com/2020/08/26/amazon-leases-yet-another-warehouse-in-the-bronx,40.824628,-73.883306,1,rooftop,1055,"Bronx River Ave",,,Bronx,NY,"Bronx County",10472,US,"City of New York"
Amazon,,"145,100","Amazon Fresh Distribution Center",0,2021,"1080 Leggett Avenue",Bronx,10474,"1080 Leggett Avenue, Bronx, New York 10474","Hunts Point","Amazon Fresh Distribution Center","Amazon Fresh","https://welcome2thebronx.com/2020/06/09/amazon-to-open-second-warehouse-in-the-bronx/
https://www.mwpvl.com/html/amazon_com.html",40.812147,-73.896407,1,rooftop,1080,"Leggett Ave",,,Bronx,NY,"Bronx County",10474,US,"City of New York"
Amazon,"Simone Dev. Cos.","97,800",Last-Mile,0,2021,"1200 Zerega Avenue",Bronx,10462,"1200 Zerega Avenue, Bronx, New York 10462",Unionport,,"Delivery Station for Bronx",https://www.mwpvl.com/html/amazon_com.html,40.833169,-73.844574,1,rooftop,1200,"Zerega Ave",,,Bronx,NY,"Bronx County",10462,US,"City of New York"
Amazon,"CBRE Investment Management","211,000",Last-Mile,0,2021,"12595 Flatlands Avenue",Kings,11208,"12595 Flatlands Avenue, Kings, New York 11208","East New York","2 adjacent buildings; Brooklyn logistics Center","Delivery Station for Brooklyn",https://therealdeal.com/2022/08/02/cbre-arm-refis-amazon-operated-warehouses-with-106m-loan/,40.65983,-73.870362,1,range_interpolation,12595,"Flatlands Ave",,,Brooklyn,NY,"Kings County",11208,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,,"117,000",Last-Mile,0,2019,"1300 Viele Avenue",Bronx,10474,"1300 Viele Avenue, Bronx, New York 10474","Hunts Point",,"Delivery Station for Bronx",https://www.welcome2thebronx.com/2019/01/16/amazon-is-coming-to-the-bronx-will-open-a-last-mile-warehouse-in-hunts-point/,40.80675,-73.883977,1,rooftop,1300,"Viele Ave",,,Bronx,NY,"Bronx County",10474,US,"City of New York"
"City Harvest",Prologis,,Distribution,,??,"150 52nd Street",Kings,11232,"150 52nd Street, Kings, New York 11232","Sunset Park",,,https://therealdeal.com/new-york/2020/11/24/prologis-picks-up-maspeth-parcel-for-51m/,40.648474,-74.019126,1,rooftop,150,"52nd St",,,Brooklyn,NY,"Kings County",11232,US,"City of New York"
Amazon,"Realterm Logistics","366,375",Last-Mile,0,2021,"1500 Bassett Avenue",Bronx,10461,"1500 Bassett Avenue, Bronx, New York 10461","Morris Park","Former Modell's Sporting Goods warehouse; High Cube warehouse","Delivery Station for Bronx","https://welcome2thebronx.com/2020/08/26/amazon-leases-yet-another-warehouse-in-the-bronx
https://therealdeal.com/2020/10/29/amazon-inks-three-warehouse-deals-for-delivery-stations/",40.851825,-73.841824,1,rooftop,1500,"Bassett Ave",,,Bronx,NY,"Bronx County",10461,US,"City of New York"
LaserShip,"Yedid Brothers Realty","40,800",Last-Mile,0,,"16-70 Weirfield Street",Queens,11385,"16-70 Weirfield Street, Queens, New York 11385",Ridgewood,,,https://commercialobserver.com/2015/09/package-delivery-service-triples-queens-base-with-move-to-ridgewood/,40.696821,-73.905429,0.7,nearest_rooftop_match,16,"Weirfield St",,,Brooklyn,NY,"Queens County",11221,US,"TIGER/Line® dataset from the US Census Bureau"
Amazon,"DH Property Holdings","400,000",,,,"1900 South Avenue",Richmond,10314,"1900 South Avenue, Richmond, New York 10314",Bloomfield,,,https://therealdeal.com/2021/01/05/dov-hertz-picks-up-staten-island-site-for-65m/,40.602451,-74.193384,1,rooftop,1900,"South Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
